Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments
202610,ARCH156,TOOLS AND TECHNIQUES II,032,10053,TR,10:00 AM - 11:20 AM, ,Closed,0,16,"Ferraro, Matteo",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10053,
202610,ARCH156,TOOLS AND TECHNIQUES II,GRH,16673,,TBA, ,Closed,0,6,,Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16673,For Glenridge High School Students Only
202610,ARCH156,TOOLS AND TECHNIQUES II,SCT,16449,,TBA, ,Closed,0,4,,Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16449,For Sussex County Technical School Students Only
202610,ARCH156,TOOLS AND TECHNIQUES II,WMR,16450,,TBA, ,Closed,0,4,,Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16450,For West Morris Regional High School District Students Only
202610,ARCH156,TOOLS AND TECHNIQUES II - HONORS,H02,10054,TR,10:00 AM - 11:20 AM, ,Open,16,15,"Coleman, James",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10054,Honors Course
202610,ARCH196,ARCHITECTURE STUDIO II,002,10055,MR,1:00 PM - 5:20 PM,WEST LECT 1,Open,5,0,"Ogorzalek, Thomas",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10055,
202610,ARCH196,ARCHITECTURE STUDIO II,004,10056,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Mergold, Aleksandr",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10056,
202610,ARCH196,ARCHITECTURE STUDIO II,006,10057,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Salomon Betech, Arie",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10057,
202610,ARCH196,ARCHITECTURE STUDIO II,008,10058,MR,1:00 PM - 5:20 PM, ,Closed,0,14,"Couch, Austin",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10058,
202610,ARCH196,ARCHITECTURE STUDIO II,010,10059,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Parikh, Darshan",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10059,
202610,ARCH196,ARCHITECTURE STUDIO II,012,10060,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Ikharo, Deen",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10060,
202610,ARCH196,ARCHITECTURE STUDIO II,014,10061,MR,1:00 PM - 5:20 PM, ,Closed,0,15,"Hoxha, Elvira",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10061,
202610,ARCH196,ARCHITECTURE STUDIO II,016,10062,MR,1:00 PM - 5:20 PM, ,Closed,0,15,"Coleman, James",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10062,
202610,ARCH196,ARCHITECTURE STUDIO II,018,10063,MR,1:00 PM - 5:20 PM, ,Closed,0,15,"Quintero Morales, Moises",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10063,
202610,ARCH196,ARCHITECTURE STUDIO II,020,10064,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Gonzalez Escamilla, Norma",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10064,
202610,ARCH196,ARCHITECTURE STUDIO II,022,10065,MR,1:00 PM - 5:20 PM, ,Closed,0,15,"Rosano, Pietro",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10065,
202610,ARCH196,ARCHITECTURE STUDIO II,024,10066,MR,1:00 PM - 5:20 PM, ,Closed,0,0,,Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10066,
202610,ARCH196,ARCHITECTURE STUDIO II,028,10067,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Patel, Shixa",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10067,
202610,ARCH196,ARCHITECTURE STUDIO II,030,10068,MR,1:00 PM - 5:20 PM, ,Closed,0,0,,Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10068,
202610,ARCH196,ARCHITECTURE STUDIO II - HONORS,H02,10069,MR,1:00 PM - 5:20 PM, ,Open,16,15,"Ogorzalek, Thomas",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10069,Honors Course
