Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments
202650,MATH 138,GENERAL CALCULUS I,,,MW,6:00 PM - 8:50 PM,CKB 106,,36,,"Bekhit, George",Face-to-Face,,,
202650,BME 382,ENGINEERING PHYSIOLOGY II,,,MTW,9:00 AM - 11:50 AM,CKB 114,,36,,"Khayat, Ghazaleh",Face-to-Face,,,
202650,BME 383,MEASUREMNT LAB FOR PHYSIO SYS,,,MTWR,1:00 PM - 4:00 PM,CKB 114,,36,,"Khayat, Ghazaleh",Face-to-Face,,,
202650,MATH 105,ELEM PROBABILITY & STATISTICS,,,MW,6:00 PM - 8:50 PM,CKB 114,,36,,"Kariuki, George",Face-to-Face,,,
202650,MATH 107,UNIVERSITY MATHEMATICS A,,,MWR,1:00 PM - 3:00 PM,CKB 120,,38,,"Potocki-Dul, Magdallena",Face-to-Face,,,
202650,MATH 211,CALCULUS III A,,,MW,6:00 PM - 9:00 PM,CKB 120,,38,,"Porus, Jonathan",Face-to-Face,,,
202650,MATH 333,PROBABILITY AND STATISTICS,,,MWR,9:00 AM - 11:00 AM,CKB 120,,38,,"Kim, Chulmin",Face-to-Face,,,
202650,CS 375,INTRO TO MACHINE LEARNING,,,MTW,6:00 PM - 8:50 PM,CKB 124,,43,,"Monogioudis, Pantelis",Face-to-Face,,,
202650,IT 114,ADV PROGRAM FOR INFOR TECH,,,MW,9:00 AM - 11:50 AM,CKB 124,,43,,"Oduru Ramesh, Mohith",Face-to-Face,,,
202650,ME 312,THERMODYNAMICS II,,,MWR,6:00 PM - 8:50 PM,CKB 124,,43,,"Ali, Abul",Face-to-Face,,,
202650,ARCH 324,LANDSCAPE AND URBANISM,,,MWR,1:00 PM - 3:50 PM,CKB 126,,25,,"Stevens, Jeff",Face-to-Face,,,
202650,MATH 110,UNIVERSITY MATHEMATICS B II,,,MTWR,9:00 AM - 12:50 PM,CKB 126,,25,,"Estfanous, Remoun",Face-to-Face,,,
202650,CS 490,DESIGN IN SOFTWARE ENGR,,,TR,6:00 PM - 8:50 PM,CKB 204,,43,,"McCann, William",Face-to-Face,,,
202650,MATH 213,CALCULUS III B,,,MWR,9:00 AM - 11:00 AM,CKB 204,,43,,"Alptekin, Sener",Face-to-Face,,,
202650,MATH 135,CALCULUS FOR BUSINESS,,,MW,6:00 PM - 8:50 PM,CKB 206,,36,,"Horwitz, Kenneth",Face-to-Face,,,
202650,MATH 279,STATS &PROBABILITY FOR ENGR,,,MW,1:00 PM - 3:50 PM,CKB 206,,36,,"Kim, Chulmin",Face-to-Face,,,
202650,CHEM 243,ORGANIC CHEMISTRY I,,,MTW,9:00 AM - 11:50 AM,CKB 207,,30,,"Koh, Kevin",Face-to-Face,,,
202650,ENGL 102,INTRO TO RESEARCH WRITING,,,MWR,1:00 PM - 3:50 PM,CKB 207,,30,,"Gonzalez-Ledezma, Grisele",Face-to-Face,,,
202650,ME 231,KINEMATICS OF MACHINERY,,,MWR,1:00 PM - 3:50 PM,CKB 215,,35,,"Russell, Kevin",Face-to-Face,,,
202650,ME 407,HEAT TRANSFER,,,MWR,1:00 PM - 3:50 PM,CKB 215,,35,,"Samardzic, Veljko",Face-to-Face,,,
202650,SDET 102,APP OF SOFT ENG TECH,,,TR,9:00 AM - 12:50 PM,CKB 215,,35,,"Iaboni, Craig",Face-to-Face,,,
202650,CS 288,INTENSIVE PROGRAMMING IN LINUX,,,MW,6:00 PM - 8:00 PM,CKB 217,,60,,"Dale, Mohit",Face-to-Face,,,
202650,IT 101,INTRO TO INFORMTN TECHNOLGY,,,MTR,1:00 PM - 3:50 PM,CKB 217,,60,,"Giannoglou, Karl",Face-to-Face,,,
202650,MATH 337,LINEAR ALGEBRA,,,MWR,1:00 PM - 3:00 PM,CKB 219,,36,,"Afkhami, Shahriar",Face-to-Face,,,
202650,BIOL 200,CONCEPTS IN BIOLOGY,,,MTWR,9:00 AM - 12:00 PM,CKB 222,,36,,"More-Potdar, Smita",Face-to-Face,,,
202650,BIOL 205,FOUND OF BIO:ECOL & EVOL I,,,MTR,9:00 AM - 11:50 AM,CKB 222,,36,,"Meneses Ospina, Santiago",Face-to-Face,,,
202650,BIOL 315,PRINCIPLES OF NEUROBIOLOGY,,,TR,1:00 PM - 3:50 PM,CKB 222,,36,,"Sanchez, Edward",Face-to-Face,,,
202650,MATH 238,GENERAL CALCULUS II,,,MW,6:00 PM - 9:00 PM,CKB 222,,36,,"Hercules-Menjivar, Manuel",Face-to-Face,,,
202650,MATH 322,DIFF EQUATIONS FOR APPLICATION,,,MW,6:00 PM - 8:50 PM,CKB 223,,30,,"Patiak, Benjamin",Face-to-Face,,,
202650,ET 450,ET CAPSTONE PROJECT,,,MW,6:00 PM - 8:50 PM,CKB 226,,35,,"Awad, Majd",Face-to-Face,,,
202650,ME 304,FLUID MECHANICS,,,MWR,1:00 PM - 3:50 PM,CKB 226,,35,,"Rao, I.",Face-to-Face,,,
202650,ME 311,THERMODYNAMICS I,,,MWR,9:00 AM - 11:50 AM,CKB 226,,35,,"Rao, I.",Face-to-Face,,,
202650,BME 385,CELL & BIOMATERIAL ENGR LAB,,,MTWR,6:00 PM - 9:00 PM,CKB 302,,12,,"Swietek, Bogumila",Face-to-Face,,,
202650,CS 491,COMPUTER SCIENCE PROJECT,,,MWR,6:00 PM - 8:50 PM,CKB 303,,43,,"Eljabiri, Osama",Face-to-Face,,,
202650,IT 491,INFORMTN TECHNLGY CAPSTONE,,,MWR,6:00 PM - 8:50 PM,CKB 303,,43,,"Eljabiri, Osama",Face-to-Face,,,
202650,YWCC 207,COMPUTING & EFFECTIVE COM,,,TW,1:00 PM - 2:00 PM,CKB 313,,35,,"Bell, Michele",Face-to-Face,,,
202650,ARCH 561,SYNTHESIS SEMINAR,,,TWR,6:00 PM - 7:20 PM,CKB 314,,43,,"Cays, John",Face-to-Face,,,
202650,CS 351,INTRODUCTION TO CYBERSECURITY,,,MTW,1:00 PM - 3:50 PM,CKB 314,,43,,"Hamidli, Fuad",Face-to-Face,,,
202650,ARCH 223,CONSTRUCTION I,,,MWR,1:00 PM - 3:50 PM,CKB 315,,30,,"Pokhrel, Biplav",Face-to-Face,,,
202650,ARCH 224,CONSTRUCTION II,,,MWR,1:00 PM - 3:50 PM,CKB 315,,30,,,Face-to-Face,,,
202650,CET 421,CONSTRUCTION CONTRACTS,,,MW,6:00 PM - 8:00 PM,CKB 315,,30,,"Wiggins, John",Face-to-Face,,,
202650,BIOL 484,EVOL OF ANIMAL BEHAVIOR LAB,,,TR,8:00 AM - 5:00 PM,CKB 316,,9,,"Devan, Caroline",Face-to-Face,,,
202650,CHEM 244,ORGANIC CHEMISTRY II,,,MTW,9:00 AM - 11:50 AM,CKB 317,,39,,"Koh, Kevin",Face-to-Face,,,
202650,MATH 333,PROBABILITY AND STATISTICS,,,MW,6:00 PM - 8:50 PM,CKB 320,,36,,"Kim, Chulmin",Face-to-Face,,,
202650,BIOL 206,FOUND OF BIO:ECOL & EVOL LAB,,,MTR,1:00 PM - 3:50 PM,CKB 328,,24,,"Devan, Caroline",Face-to-Face,,,
202650,ARCH 156,TOOLS AND TECHNIQUES II,,,MWR,6:00 PM - 8:50 PM,CKB 341,,25,,"Capobianco, Angelo",Face-to-Face,,,
202650,MNET 414,INDUSTRIAL COST ANALYSIS,,,MWR,6:00 PM - 8:00 PM,CKB 341,,25,,"Zeiner, Christopher",Face-to-Face,,,
202650,ENGL 101,INTRO TO ACADEMIC WRITING,,,MWR,1:00 PM - 3:50 PM,CKB G-17A,,25,,"Gonzalez-Ledezma, Grisele",Face-to-Face,,,
202650,ENGL 102,INTRO TO RESEARCH WRITING,,,MWR,9:00 AM - 11:50 AM,CKB G-17A,,25,,"Gonzalez-Ledezma, Grisele",Face-to-Face,,,
202650,CE 341A,GEOTECHNICAL ENGINEERING LAB,,,U,9:00 AM - 2:50 PM,COLT 314,,20,,"Aderibigbe, Ayodeji",Face-to-Face,,,
202650,ENE 262,INTRO TO ENVIRONMENTAL ENGR,,,MR,10:00 AM - 1:00 PM,COLT 416,,20,,"Marhaba, Taha",Face-to-Face,,,
202650,MATH 213,CALCULUS III B,,,MWR,6:00 PM - 8:00 PM,CULM 110,,36,,"Alptekin, Sener",Face-to-Face,,,
202650,MATH 222,DIFFERENTIAL EQUATIONS,,,MWR,1:00 PM - 3:00 PM,CULM 110,,36,,"Bouayad, Rachid",Face-to-Face,,,
202650,HIST 213,THE TWENTIETH-CENTURY WORLD,,,MWR,4:00 PM - 6:50 PM,CULM 111,,20,,"Kent, Scott",Face-to-Face,,,
202650,CS 100,ROADMAP TO COMPUTING,,,MTR,9:00 AM - 11:50 AM,CULM LECT 1,,43,,"Bhavsar, Jaini",Face-to-Face,,,
202650,CS 100,ROADMAP TO COMPUTING,,,MTR,9:00 AM - 11:50 AM,CULM LECT 1,,43,,"Nemane, Nikita",Face-to-Face,,,
202650,CS 101,COMP PROG & PROB SOLVING,,,MWR,6:00 PM - 8:50 PM,CULM LECT 1,,43,,"Rutkowski, Wallace",Face-to-Face,,,
202650,CS 104,COMPUT PROG & GRAPH PROB,,,MWR,1:00 PM - 3:50 PM,CULM LECT 1,,43,,"Eljabiri, Osama",Face-to-Face,,,
202650,CS 280,PROGRAMMING LANG CONCEPTS,,,MWR,1:00 PM - 3:50 PM,CULM LECT 1,,43,,"Kapleau, Jonathan",Face-to-Face,,,
